StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1002,18,0,0,1,15.40875605584674,0,0,1,0,0,0,0,3.042914833436377,1.0
1003,15,0,2,3,4.21056976881226,26,0,2,0,0,0,0,0.1126022544661815,4.0
1004,17,1,0,3,10.028829473958217,14,0,3,1,0,0,0,2.0542181397029484,3.0
1006,18,0,0,1,8.191218545250186,0,0,1,1,0,0,0,3.0841836144863937,1.0
1007,15,0,1,1,15.601680474699297,10,0,3,0,1,0,0,2.748237414891583,2.0
1009,17,0,0,0,4.562007558047703,1,0,2,0,1,0,1,2.896819189513569,2.0
1010,16,1,0,1,18.4444663630972,0,0,3,1,0,0,0,3.5734742103297656,0.0
1011,17,0,0,1,11.851363655296536,11,0,1,0,0,0,0,2.1471716250185144,3.0
1012,17,0,0,1,7.59848581924029,15,0,2,0,0,0,1,1.5595945190402771,4.0
1013,17,0,1,1,10.038711615617212,21,0,3,1,0,0,0,1.520077814874808,4.0
1014,17,0,1,2,12.101425068754876,21,0,4,0,1,0,0,1.7515809583340785,4.0
1017,18,0,3,1,10.098656081788002,14,0,2,1,1,0,0,2.232175277715976,3.0
1019,18,0,1,3,16.25465808609359,29,0,2,1,0,0,1,0.4695533233798704,4.0
1020,17,0,0,1,10.835206398820308,9,0,2,0,0,1,0,2.3957840945307,3.0
1021,16,1,0,3,2.621597234094062,2,0,3,0,0,0,1,2.778411299920653,2.0
1022,15,0,0,2,15.32314203165556,25,0,1,1,0,0,0,0.3468940367050148,4.0
1024,18,1,3,4,18.94613798473924,20,0,2,1,0,0,0,1.7701318767799732,4.0
1025,18,1,0,1,7.380354648223455,15,0,2,0,0,0,0,1.5051556220362858,4.0
1026,16,1,0,3,2.7103374712150807,5,0,4,0,0,1,0,2.977851918315743,2.0
1027,16,0,0,1,10.367992532661304,2,0,2,0,1,0,0,2.948717671911921,2.0
1028,16,1,0,3,2.2521845869844137,8,0,3,0,0,1,0,2.145204720467192,3.0
1029,18,0,0,0,18.679748370252344,10,0,3,1,0,0,0,2.854803928981318,2.0
1030,18,0,0,2,3.67159254710292,20,0,3,1,0,0,0,1.519441725815139,4.0
1032,15,0,0,3,8.132730537699409,17,0,4,0,0,0,1,1.8475354711387904,4.0
1033,18,0,0,3,7.663289371182516,25,0,1,0,1,0,0,0.3846169728564877,4.0
1034,16,0,3,3,15.89325784795778,21,0,0,1,1,0,0,0.94940609779728,4.0
1036,15,0,3,1,3.415365200066738,23,0,1,0,0,0,0,0.2614722600507521,4.0
1042,17,0,0,1,14.294046327645152,7,0,2,0,0,0,0,2.625128097732231,2.0
1044,18,1,0,1,18.245091222023117,9,0,2,0,1,0,0,2.888891669272444,2.0
1046,18,0,0,2,4.894311940474019,7,0,4,0,0,1,0,2.515300272256249,2.0
1047,18,0,1,2,2.6313061327870924,5,0,1,1,0,0,0,2.5637654300150947,2.0
1048,17,0,0,2,6.04553400992897,15,0,2,0,0,0,0,1.7036118032323682,4.0
1049,16,0,1,2,17.90170345532629,17,0,3,0,0,1,0,2.0998851567205854,3.0
1050,16,1,1,1,19.441069492469765,16,0,4,1,0,0,0,2.4610469629080955,3.0
1051,17,1,2,2,17.18649902140952,5,0,3,0,0,0,0,2.935477191694632,2.0
1053,17,1,0,1,18.948559961195865,22,0,4,0,0,1,0,1.5715441913992825,4.0
1054,18,0,0,2,8.46716054701572,13,0,1,0,1,0,0,1.6643106896610833,4.0
1056,18,0,0,1,8.847874814963872,25,0,2,0,1,0,0,0.8027695392342074,4.0
1057,18,1,0,4,0.9213833935093518,20,0,2,0,1,1,0,1.3423871779577343,4.0
1058,15,0,0,4,10.87755842322235,29,0,3,1,0,0,0,0.2865712882866222,4.0
1060,15,1,3,0,9.468698671880976,23,0,3,0,1,0,0,0.9290125546259368,4.0
1061,17,1,1,1,12.26340721486234,10,0,0,1,0,1,0,1.892758695926592,4.0
1062,17,0,0,1,17.376021916356407,12,0,2,0,0,1,0,2.331261549308754,3.0
1063,15,0,1,3,13.238031529438572,11,0,3,0,1,0,0,2.234238472600233,3.0
1064,15,0,0,1,8.680977369563614,8,0,2,0,1,0,0,2.3858282190764624,3.0
1067,18,0,0,4,2.3951993286439444,23,0,3,0,1,0,0,1.0396238791477144,4.0
1068,15,1,0,1,10.638659551055827,28,0,0,0,1,0,0,0.0278186247324679,4.0
1070,16,1,2,1,0.941223957538948,1,0,4,0,0,1,0,3.283916521897384,1.0
1071,16,0,1,2,13.370933902279706,6,0,2,1,0,0,0,2.937454182316864,2.0
1072,16,1,1,1,17.255415549184512,28,0,3,0,0,1,1,0.7388682028052602,4.0
1073,15,0,1,1,3.258053089547881,8,0,2,1,1,0,0,2.556801662833417,2.0
1075,15,1,0,3,17.067914670738833,14,0,3,1,0,1,0,2.200682946560561,3.0
1076,16,0,0,3,18.28680885332967,17,0,3,0,1,0,0,1.8558655731681932,4.0
1077,18,0,0,2,5.305701781721048,3,0,3,0,0,0,0,2.734401494419992,2.0
1079,17,1,0,0,6.413255094728645,19,0,1,0,0,0,0,0.9797699107752862,4.0
1080,18,1,3,1,11.046760269110056,25,0,3,0,1,0,0,0.994325023551287,4.0
1081,17,0,3,1,1.0101494166456426,6,0,1,0,1,0,0,2.0746999767813343,3.0
1082,18,1,2,2,0.8776217673748721,25,0,2,0,0,0,0,0.500508035804656,4.0
1083,15,1,1,1,14.407464254644058,7,0,0,1,1,0,0,2.532438417587673,2.0
1084,18,0,2,1,8.88959955955582,16,0,1,0,1,0,0,1.4633780357856976,4.0
1085,17,1,0,2,5.125847507384352,12,0,3,1,1,0,0,2.342836773191855,3.0
1086,17,1,2,3,3.808269920498204,23,0,3,0,0,0,0,1.1588463344506037,4.0
1088,15,0,2,1,0.0080308805067974,27,0,1,0,0,1,0,0.0,4.0
1089,18,0,0,1,16.117823383937086,22,0,0,1,0,1,0,1.0586220144439875,4.0
1090,16,0,2,1,1.5849921225985764,10,0,2,0,0,1,1,2.2297401841747666,3.0
1091,18,0,3,1,3.829792298162389,26,0,1,0,0,0,1,0.1947432807455151,4.0
1092,18,1,0,2,7.724727905981792,0,0,2,1,1,0,0,3.5069200713692137,0.0
1095,16,1,0,1,6.414243299685878,4,0,1,1,1,0,0,2.7084723438568763,2.0
1096,16,1,2,3,19.278320241463767,29,0,3,0,0,0,1,0.7329082339013866,4.0
1097,16,1,1,1,12.831593624867883,29,0,4,0,0,1,0,0.9654824453045304,4.0
1098,18,0,0,2,0.4686591073477641,5,0,2,0,1,0,0,2.5552328599380942,2.0
